id,Latitude,Longitude,Date Local,AQI,Population,White Alone,Hispanic/Latino,Black or African American Alone,Asian/Pacific Islander,Some Other Race Alone
576,33.485556,-86.915,10/8/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
822,33.331111,-87.003611,10/8/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1059,33.545278,-86.549167,10/8/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
1303,33.801667,-86.9425,10/8/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
1549,33.578333,-86.773889,10/8/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
268,33.553056,-86.815,10/7/2022,67,9.966307929,711.0262125,161.220463,8589.74359,231034.4828,643.3029285
575,33.485556,-86.915,10/7/2022,54,8.032546689,573.0659026,129.9388806,6923.076923,186206.8966,518.4829573
821,33.331111,-87.003611,10/7/2022,47,6.991290637,498.7795819,113.0949516,6025.641026,162068.9655,451.2722036
1058,33.545278,-86.549167,10/7/2022,51,7.586294095,541.228908,122.7200539,6538.461538,175862.069,489.6783485
1302,33.801667,-86.9425,10/7/2022,54,8.032546689,573.0659026,129.9388806,6923.076923,186206.8966,518.4829573
1548,33.578333,-86.773889,10/7/2022,50,7.437543231,530.6165765,120.3137783,6410.25641,172413.7931,480.0768123
267,33.553056,-86.815,10/6/2022,49,7.288792366,520.0042449,117.9075028,6282.051282,168965.5172,470.475276
574,33.485556,-86.915,10/6/2022,48,7.140041501,509.3919134,115.5012272,6153.846154,165517.2414,460.8737398
820,33.331111,-87.003611,10/6/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
1057,33.545278,-86.549167,10/6/2022,48,7.140041501,509.3919134,115.5012272,6153.846154,165517.2414,460.8737398
1301,33.801667,-86.9425,10/6/2022,45,6.693788908,477.5549188,108.2824005,5769.230769,155172.4138,432.0691311
1547,33.578333,-86.773889,10/6/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
266,33.553056,-86.815,10/5/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
573,33.485556,-86.915,10/5/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
819,33.331111,-87.003611,10/5/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
1056,33.545278,-86.549167,10/5/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
1300,33.801667,-86.9425,10/5/2022,45,6.693788908,477.5549188,108.2824005,5769.230769,155172.4138,432.0691311
1546,33.578333,-86.773889,10/5/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
265,33.553056,-86.815,10/4/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
572,33.485556,-86.915,10/4/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
818,33.331111,-87.003611,10/4/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
1055,33.545278,-86.549167,10/4/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
1299,33.801667,-86.9425,10/4/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1545,33.578333,-86.773889,10/4/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
264,33.553056,-86.815,10/3/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
571,33.485556,-86.915,10/3/2022,36,5.355031126,382.0439351,86.6259204,4615.384615,124137.931,345.6553048
817,33.331111,-87.003611,10/3/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
1054,33.545278,-86.549167,10/3/2022,29,4.313775074,307.7576143,69.78199143,3717.948718,100000,278.4445511
1298,33.801667,-86.9425,10/3/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
1544,33.578333,-86.773889,10/3/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
